"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_61||F3M_NODE_21_length_5264_cov_3.885583_2"	"phrog_23945"	NA	"unknown function"	"YP_009592317.1"	"phrog_23945"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_17_length_10111_cov_4.236973_7"	"phrog_5"	"tail completion or Neck1 protein"	"connector"	"YP_009324857.1"	"phrog_5"	"tail completion or Neck1 protein"	"connector"	"tail completion or Neck1 protein"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_13"	"phrog_5"	"tail completion or Neck1 protein"	"connector"	"YP_009324857.1"	"phrog_5"	"tail completion or Neck1 protein"	"connector"	"tail completion or Neck1 protein"
"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_25"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"YP_009797518.1"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"Reverse transcriptase"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_27"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"YP_009797518.1"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"Reverse transcriptase"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_4"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"YP_009797518.1"	"phrog_1423"	"Reverse transcriptase"	"DNA, RNA and nucleotide metabolism"	"Reverse transcriptase"
"bin_40||F2M_NODE_129_length_2597_cov_69.369788_3"	"phrog_16550"	NA	"unknown function"	"YP_010113011.1"	"phrog_20212"	NA	"unknown function"	"NA"
"bin_45||F2T1_NODE_15_length_5045_cov_4.625451_8"	"phrog_17572"	NA	"unknown function"	"bin_45||F2T1_NODE_15_length_5045_cov_4.625451_8"	"phrog_17572"	NA	"unknown function"	"NA"
"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_22"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_22"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"DnaC-like helicase loader"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_63"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_22"	"phrog_50"	"DnaC-like helicase loader"	"DNA, RNA and nucleotide metabolism"	"DnaC-like helicase loader"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_60"	"phrog_10119"	NA	"unknown function"	"YP_010112597.1"	"phrog_33569"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_75"	"phrog_16354"	NA	"unknown function"	"YP_010112910.1"	"phrog_16354"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_5"	"phrog_5462"	NA	"unknown function"	"YP_762552.1"	"phrog_5462"	NA	"unknown function"	"NA"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_20"	"phrog_5356"	NA	"unknown function"	"YP_009594122.1"	"phrog_20162"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_23||F1T2_NODE_46_length_3262_cov_3.152167_3"	"phrog_2645"	"major tail protein"	"tail"	"YP_009017644.1"	"phrog_2645"	"major tail protein"	"tail"	"major tail protein"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_14"	"phrog_2645"	"major tail protein"	"tail"	"YP_009017644.1"	"phrog_2645"	"major tail protein"	"tail"	"major tail protein"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_18"	"phrog_2645"	"major tail protein"	"tail"	"YP_009017644.1"	"phrog_2645"	"major tail protein"	"tail"	"major tail protein"
"bin_37||F2M_NODE_113_length_2922_cov_46.970701_7"	"phrog_17464"	"replication protein"	"DNA, RNA and nucleotide metabolism"	"bin_37||F2M_NODE_113_length_2922_cov_46.970701_7"	NA	NA	NA	"replication protein"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_10"	"phrog_4898"	"holin"	"lysis"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_10"	"phrog_4898"	"holin"	"lysis"	"holin"
"bin_27||F1T2_NODE_50_length_3035_cov_71.021141_3"	"phrog_4898"	"holin"	"lysis"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_10"	"phrog_4898"	"holin"	"lysis"	"holin"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_6"	"phrog_4898"	"holin"	"lysis"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_10"	"phrog_4898"	"holin"	"lysis"	"holin"
"bin_79||F4M_NODE_15_length_12359_cov_8.118579_10"	"phrog_4898"	"holin"	"lysis"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_10"	"phrog_2429"	"involved in bacteriocin production or immunity"	"moron, auxiliary metabolic gene and host takeover"	"involved in bacteriocin production or immunity"
"bin_86||F4T2_NODE_7_length_8432_cov_4.607497_13"	"phrog_4898"	"holin"	"lysis"	"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_10"	"phrog_9829"	NA	"unknown function"	"holin"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_4"	"phrog_15100"	"virion structural protein"	"head and packaging"	"YP_010110370.1"	"phrog_15100"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_38||F2T1_NODE_6_length_7108_cov_4.665674_4"	"phrog_498"	"DNA methyltransferase"	"other"	"YP_009797324.1"	"phrog_67"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_13"	"phrog_498"	"DNA methyltransferase"	"other"	"YP_009797324.1"	"phrog_498"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_17"	"phrog_14446"	NA	"unknown function"	"YP_009052493.1"	"phrog_28847"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_57"	"phrog_14446"	NA	"unknown function"	"YP_009052493.1"	"phrog_8811"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_90"	"phrog_2206"	"virion RNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_90"	NA	NA	NA	"virion RNA polymerase"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_10"	"phrog_17977"	NA	"unknown function"	"YP_007005342.1"	"phrog_17977"	NA	"unknown function"	"NA"
"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_12"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_12"	"phrog_1373"	"transcriptional regulator"	"transcription regulation"	"transcriptional regulator"
"bin_10||F1T1_NODE_20_length_9109_cov_4.891208_8"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_12"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"transcriptional repressor"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_89"	"phrog_16227"	"virion structural protein"	"head and packaging"	"YP_010110969.1"	"phrog_16227"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_10||F1T1_NODE_18_length_9305_cov_4.922486_10"	"phrog_46"	"tail protein"	"tail"	"YP_009797505.1"	"phrog_46"	"tail protein"	"tail"	"tail protein"
"bin_56||F4T1_NODE_21_length_6354_cov_2.996984_7"	"phrog_38431"	NA	"unknown function"	"bin_56||F4T1_NODE_21_length_6354_cov_2.996984_7"	"phrog_38431"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_10"	"phrog_38431"	NA	"unknown function"	"bin_56||F4T1_NODE_21_length_6354_cov_2.996984_7"	"phrog_38431"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_10"	"phrog_538"	"minor tail protein"	"tail"	"YP_008320352.1"	"phrog_538"	"minor tail protein"	"tail"	"minor tail protein"
"bin_33||F2M_NODE_49_length_7104_cov_3.414101_10"	"phrog_538"	"minor tail protein"	"tail"	"YP_008320352.1"	"phrog_538"	"minor tail protein"	"tail"	"minor tail protein"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_21"	"phrog_538"	"minor tail protein"	"tail"	"YP_008320352.1"	"phrog_538"	"minor tail protein"	"tail"	"minor tail protein"
"bin_40||F2M_NODE_129_length_2597_cov_69.369788_1"	"phrog_33982"	NA	"unknown function"	"YP_010112613.1"	"phrog_1090"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_72"	"phrog_244"	"RusA-like Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"YP_009856700.1"	"phrog_244"	"RusA-like Holliday junction resolvase"	"DNA, RNA and nucleotide metabolism"	"RusA-like Holliday junction resolvase"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_6"	"phrog_2699"	"terminase large subunit"	"head and packaging"	"YP_010083079.1"	"phrog_9"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_24"	"phrog_2699"	"terminase large subunit"	"head and packaging"	"YP_010083079.1"	"phrog_9"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_19"	"phrog_2699"	"terminase large subunit"	"head and packaging"	"YP_010083079.1"	"phrog_9"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_23||F1T2_NODE_46_length_3262_cov_3.152167_1"	"phrog_4338"	NA	"unknown function"	"YP_001828664.1"	"phrog_4338"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_16"	"phrog_4338"	NA	"unknown function"	"YP_001828664.1"	"phrog_4338"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_15"	"phrog_4338"	NA	"unknown function"	"YP_001828664.1"	"phrog_4338"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_16"	"phrog_120"	"baseplate protein"	"tail"	"NP_945299.1"	"phrog_120"	"baseplate protein"	"tail"	"baseplate protein"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_24"	"phrog_3853"	NA	"unknown function"	"YP_009223726.1"	"phrog_3853"	NA	"unknown function"	"NA"
"bin_33||F2M_NODE_33_length_9735_cov_4.967562_5"	"phrog_5131"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"YP_010100137.1"	"phrog_5131"	"thymidylate synthase"	"DNA, RNA and nucleotide metabolism"	"thymidylate synthase"
"bin_20||F4T1_NODE_75_length_2122_cov_2.181422_2"	"phrog_528"	NA	"unknown function"	"YP_009007072.1"	"phrog_528"	NA	"unknown function"	"NA"
"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_15"	"phrog_20016"	NA	"unknown function"	"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_15"	"phrog_20016"	NA	"unknown function"	"NA"
"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_5"	"phrog_20016"	NA	"unknown function"	"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_15"	"phrog_20016"	NA	"unknown function"	"NA"
"bin_31||F1T2_NODE_74_length_2225_cov_3.046544_2"	"phrog_20016"	NA	"unknown function"	"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_15"	"phrog_20016"	NA	"unknown function"	"NA"
"bin_20||F1T1_NODE_85_length_2081_cov_2.208786_4"	"phrog_556"	"minor head protein"	"head and packaging"	"YP_001468396.1"	"phrog_556"	"minor head protein"	"head and packaging"	"minor head protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_15"	"phrog_17110"	NA	"unknown function"	"YP_010110960.1"	"phrog_9237"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_14"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_009323661.1"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_37"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_009323661.1"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_8"	"phrog_2859"	NA	"unknown function"	"YP_010110584.1"	"phrog_17560"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_48"	"phrog_38151"	NA	"unknown function"	"YP_009052487.1"	"phrog_38151"	NA	"unknown function"	"NA"
"bin_68||F3T2_NODE_16_length_12864_cov_12.776407_4"	"phrog_38151"	NA	"unknown function"	"YP_009052487.1"	"phrog_38151"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_67"	NA	NA	NA	"YP_010110397.1"	"phrog_10547"	NA	"unknown function"	"NA"
"bin_08||F1T1_NODE_9_length_13674_cov_5.356120_16"	"phrog_22855"	NA	"unknown function"	"bin_08||F1T1_NODE_9_length_13674_cov_5.356120_16"	NA	NA	NA	"NA"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_20"	"phrog_22855"	NA	"unknown function"	"bin_08||F1T1_NODE_9_length_13674_cov_5.356120_16"	"phrog_24007"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_29"	"phrog_22855"	NA	"unknown function"	"bin_08||F1T1_NODE_9_length_13674_cov_5.356120_16"	"phrog_5442"	NA	"unknown function"	"NA"
"bin_09||F1T1_NODE_65_length_2629_cov_3.869852_6"	"phrog_9428"	NA	"unknown function"	"YP_009797220.1"	"phrog_9428"	NA	"unknown function"	"NA"
"bin_10||F1T1_NODE_20_length_9109_cov_4.891208_13"	"phrog_9428"	NA	"unknown function"	"YP_009797220.1"	"phrog_9428"	NA	"unknown function"	"NA"
"bin_46||F3T2_NODE_75_length_2201_cov_3.951538_3"	"phrog_15924"	NA	"unknown function"	"YP_010112640.1"	"phrog_21109"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_8"	"phrog_15924"	NA	"unknown function"	"YP_010112640.1"	NA	NA	NA	"NA"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_6"	"phrog_15924"	NA	"unknown function"	"YP_010112640.1"	NA	NA	NA	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_40"	"phrog_243"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010112828.1"	"phrog_243"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"DnaB-like replicative helicase"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_90"	"phrog_243"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"YP_010112828.1"	"phrog_243"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"DnaB-like replicative helicase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_7"	"phrog_29266"	NA	"unknown function"	"YP_010110174.1"	"phrog_35322"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_18"	"phrog_2841"	"minor head protein"	"head and packaging"	"YP_009099332.1"	"phrog_115"	"minor head protein"	"head and packaging"	"minor head protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_35"	"phrog_2682"	NA	"unknown function"	"YP_009443004.1"	"phrog_1383"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_53||F2T2_NODE_45_length_3402_cov_3.824619_8"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"NP_049950.1"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"Mu Gam-like end protection"
"bin_25||F4T1_NODE_38_length_4030_cov_4.182642_5"	"phrog_5302"	"tail protein"	"tail"	"bin_25||F4T1_NODE_38_length_4030_cov_4.182642_5"	"phrog_5302"	"tail protein"	"tail"	"tail protein"
"bin_17||F2M_NODE_27_length_10346_cov_5.090565_2"	"phrog_5302"	"tail protein"	"tail"	"bin_25||F4T1_NODE_38_length_4030_cov_4.182642_5"	"phrog_5302"	"tail protein"	"tail"	"tail protein"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_57"	"phrog_5302"	"tail protein"	"tail"	"bin_25||F4T1_NODE_38_length_4030_cov_4.182642_5"	"phrog_5302"	"tail protein"	"tail"	"tail protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_74"	"phrog_26897"	NA	"unknown function"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_74"	"phrog_26897"	NA	"unknown function"	"NA"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_11"	"phrog_26897"	NA	"unknown function"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_74"	"phrog_26897"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_36"	"phrog_35737"	"virion structural protein"	"head and packaging"	"bin_04||F1M_NODE_3_length_59487_cov_7.401148_36"	"phrog_35737"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_37"	"phrog_35737"	"virion structural protein"	"head and packaging"	"bin_04||F1M_NODE_3_length_59487_cov_7.401148_36"	"phrog_35737"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_55"	"phrog_594"	NA	"unknown function"	"YP_010113064.1"	"phrog_37425"	NA	"unknown function"	"NA"
"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_2"	"phrog_67"	"DNA methyltransferase"	"other"	"YP_010104194.1"	"phrog_498"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_52||F2T2_NODE_12_length_19967_cov_17.567296_5"	"phrog_23092"	NA	"unknown function"	"bin_52||F2T2_NODE_12_length_19967_cov_17.567296_5"	"phrog_23092"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_38_length_4175_cov_3.584466_4"	"phrog_23092"	NA	"unknown function"	"bin_52||F2T2_NODE_12_length_19967_cov_17.567296_5"	"phrog_23092"	NA	"unknown function"	"NA"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_29"	"phrog_228"	"Arc-like repressor"	"transcription regulation"	"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_29"	"phrog_228"	"Arc-like repressor"	"transcription regulation"	"Arc-like repressor"
"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_30"	"phrog_116"	"DNA methyltransferase"	"other"	"YP_008059411.1"	"phrog_116"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_32"	"phrog_116"	"DNA methyltransferase"	"other"	"YP_008059411.1"	"phrog_116"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_54||F2T2_NODE_46_length_3242_cov_4.200188_1"	"phrog_116"	"DNA methyltransferase"	"other"	"YP_008059411.1"	"phrog_23072"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_11||F4T1_NODE_19_length_7086_cov_5.105533_2"	"phrog_811"	"UmuD-like protein"	"DNA, RNA and nucleotide metabolism"	"YP_239823.1"	"phrog_811"	"UmuD-like protein"	"DNA, RNA and nucleotide metabolism"	"UmuD-like protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_41"	"phrog_33254"	NA	"unknown function"	"YP_009052560.1"	"phrog_38216"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_73"	"phrog_338"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010112915.1"	"phrog_20236"	NA	"unknown function"	"HNH endonuclease"
"bin_33||F2M_NODE_49_length_7104_cov_3.414101_11"	"phrog_106"	"minor tail protein"	"tail"	"YP_004306117.1"	"phrog_36410"	NA	"unknown function"	"minor tail protein"
"bin_38||F2T1_NODE_6_length_7108_cov_4.665674_2"	"phrog_678"	"replication initiation O-like"	"DNA, RNA and nucleotide metabolism"	"YP_008770204.1"	"phrog_11527"	NA	"unknown function"	"replication initiation O-like"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_79"	"phrog_351"	"RNA polymerase sigma factor"	"transcription regulation"	"YP_010113412.1"	"phrog_351"	"RNA polymerase sigma factor"	"transcription regulation"	"RNA polymerase sigma factor"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_26"	"phrog_351"	"RNA polymerase sigma factor"	"transcription regulation"	"YP_010113412.1"	"phrog_351"	"RNA polymerase sigma factor"	"transcription regulation"	"RNA polymerase sigma factor"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_28"	"phrog_15924"	NA	"unknown function"	"YP_010110715.1"	"phrog_27794"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_39_length_3807_cov_5.945096_3"	"phrog_541"	"head-tail adaptor"	"connector"	"YP_009044678.1"	"phrog_541"	"head-tail adaptor"	"connector"	"head-tail adaptor"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_62"	"phrog_17"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_62"	"phrog_17"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_55"	"phrog_17"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_62"	"phrog_12241"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_57"	"phrog_33740"	NA	"unknown function"	"YP_010113385.1"	"phrog_33740"	NA	"unknown function"	"NA"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_17"	"phrog_80"	"head maturation protease"	"head and packaging"	"YP_009152980.1"	"phrog_80"	"head maturation protease"	"head and packaging"	"head maturation protease"
"bin_24||F2T2_NODE_17_length_10111_cov_4.236973_2"	"phrog_80"	"head maturation protease"	"head and packaging"	"YP_009152980.1"	"phrog_80"	"head maturation protease"	"head and packaging"	"head maturation protease"
"bin_06||F1T1_NODE_11_length_12335_cov_9.844788_7"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_61||F3M_NODE_34_length_3386_cov_3.738517_4"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_25||F1T2_NODE_39_length_3994_cov_4.134552_3"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_67||F3T2_NODE_14_length_17040_cov_17.432028_12"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_07||F1T1_NODE_15_length_10016_cov_5.736271_11"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_11"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_54||F2T2_NODE_14_length_12054_cov_11.000333_14"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_22||F1T2_NODE_13_length_10776_cov_38.074527_2"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_07||F1T1_NODE_21_length_9108_cov_4.030156_7"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_9"	"phrog_2006"	"major head protein"	"head and packaging"	"YP_009910274.1"	"phrog_2006"	"major head protein"	"head and packaging"	"major head protein"
"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_6"	"phrog_8189"	NA	"unknown function"	"YP_009855469.1"	"phrog_8189"	NA	"unknown function"	"NA"
"bin_29||F1T2_NODE_61_length_2600_cov_244.004322_3"	"phrog_942"	"replication initiation protein"	"DNA, RNA and nucleotide metabolism"	"YP_009551426.1"	"phrog_942"	"replication initiation protein"	"DNA, RNA and nucleotide metabolism"	"replication initiation protein"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_21"	"phrog_4079"	NA	"unknown function"	"bin_23||F2M_NODE_18_length_13684_cov_7.727273_21"	"phrog_4079"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_88_length_4266_cov_21.890525_7"	"phrog_4079"	NA	"unknown function"	"bin_23||F2M_NODE_18_length_13684_cov_7.727273_21"	"phrog_4079"	NA	"unknown function"	"NA"
"bin_94||F4T1_NODE_8_length_17516_cov_18.513659_14"	"phrog_1951"	"head-tail adaptor"	"connector"	"YP_001425607.2"	"phrog_1951"	"head-tail adaptor"	"connector"	"head-tail adaptor"
"bin_24||F2T2_NODE_17_length_10111_cov_4.236973_6"	"phrog_1951"	"head-tail adaptor"	"connector"	"YP_001425607.2"	"phrog_1951"	"head-tail adaptor"	"connector"	"head-tail adaptor"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_117"	"phrog_9"	"terminase large subunit"	"head and packaging"	"YP_009015312.1"	"phrog_7579"	"terminase large subunit"	"head and packaging"	"terminase large subunit"
"bin_11||F4M_NODE_44_length_2210_cov_1.546636_4"	"phrog_940"	"nuclease"	"DNA, RNA and nucleotide metabolism"	"bin_11||F4M_NODE_44_length_2210_cov_1.546636_4"	"phrog_940"	"nuclease"	"DNA, RNA and nucleotide metabolism"	"nuclease"
"bin_11||F1T2_NODE_47_length_3229_cov_2.662571_3"	"phrog_940"	"nuclease"	"DNA, RNA and nucleotide metabolism"	"bin_11||F4M_NODE_44_length_2210_cov_1.546636_4"	"phrog_940"	"nuclease"	"DNA, RNA and nucleotide metabolism"	"nuclease"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_17"	"phrog_5377"	NA	"unknown function"	"YP_008241031.1"	"phrog_5377"	NA	"unknown function"	"NA"
"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_29"	"phrog_31524"	NA	"unknown function"	"YP_010110492.1"	"phrog_31524"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_15"	"phrog_1652"	NA	"unknown function"	"YP_009884977.1"	"phrog_1652"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_36_length_9459_cov_25.542960_18"	"phrog_19852"	NA	"unknown function"	"YP_009797566.1"	"phrog_19852"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_5"	"phrog_19852"	NA	"unknown function"	"YP_009797566.1"	"phrog_19852"	NA	"unknown function"	"NA"
"bin_03||F4M_NODE_26_length_3770_cov_3.635801_6"	"phrog_35700"	NA	"unknown function"	"bin_03||F4M_NODE_26_length_3770_cov_3.635801_6"	"phrog_35700"	NA	"unknown function"	"NA"
